"","Style","Price","Rating","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern Type","Recommendation"
"33","Casual","Average",4.4,"L","Autumn","o-neck","sleeveless","natural","linen","chiffon","ruffles","animal","0"
"34","Brief","Average",4.3,"L","Spring","o-neck","sleeveless","empire","chiffonfabric","chiffon","bow","solid","1"
"35","party","High",4.7,"M","Spring","o-neck","threequarter","natural","silk","chiffon","flowers","print","0"
"36","Casual","Low",4.6,"free","Winter","boat-neck","full","natural","cotton","worsted","lace","patchwork","1"
"37","vintage","Average",4.6,"free","Winter","o-neck","full","natural","mix","chiffon","embroidary","print","1"
"38","Brief","Average",0,"M","Autumn","o-neck","short","natural","cotton","chiffon","sashes","print","0"
"39","party","Average",4.6,"M","Winter","o-neck","sleeveless","natural","cotton","chiffon","lace","solid","1"
"40","Casual","Average",4.5,"M","Spring","v-neck","short","empire","cotton","worsted","button","solid","1"
"41","Brief","Average",5,"free","Spring","v-neck","sleeveless","natural","cotton","broadcloth","lace","solid","1"
"42","Brief","Low",4.4,"L","Autumn","o-neck","halfsleeve","natural","rayon","chiffon","sashes","solid","0"
"43","Casual","Average",4.8,"M","Winter","o-neck","short","natural","lycra","broadcloth","applique","patchwork","0"
"44","Casual","Low",4.8,"free","Spring","o-neck","sleeveless","natural","cotton","jersey","pockets","print","0"
"45","vintage","Average",4.8,"M","Winter","o-neck","sleeveless","natural","cotton","chiffon","button","patchwork","1"
"46","Sexy","Average",0,"M","Winter","o-neck","short","natural","polyster","broadcloth","lace","solid","0"
"47","Sexy","Average",4.8,"L","Spring","v-neck","threequarter","empire","polyster","chiffon","lace","geometric","0"
"48","Casual","Average",0,"M","Summer","o-neck","halfsleeve","natural","cotton","chiffon","ruffles","dot","1"
"49","Casual","Low",4.7,"M","Summer","o-neck","sleeveless","empire","milksilk","chiffon","bow","solid","0"
"50","Casual","Medium",0,"L","Winter","boat-neck","full","empire","cashmere","knitted","feathers","solid","1"
"51","Sexy","Low",5,"free","Summer","v-neck","sleeveless","empire","cotton","chiffon","sequined","animal","1"
"52","Casual","Low",4.3,"free","Summer","o-neck","sleeveless","natural","milksilk","chiffon","sashes","animal","0"
"53","Casual","Average",0,"L","Spring","o-neck","halfsleeve","natural","polyster","chiffon","hollowout","solid","1"
"54","Casual","Average",4.6,"free","Autumn","o-neck","sleeveless","natural","polyster","chiffon","sashes","solid","1"
"55","Sexy","Average",4.5,"M","Spring","o-neck","threequarter","natural","polyster","broadcloth","lace","geometric","0"
"56","Novelty","Average",0,"S","Winter","turndowncollor","full","natural","cotton","satin","hollowout","patchwork","0"
"57","Casual","Average",4.9,"S","Winter","turndowncollor","full","natural","cotton","jersey","pockets","solid","1"
"58","Sexy","Low",4.6,"L","Autumn","o-neck","sleeveless","natural","cotton","worsted","lace","solid","1"
"59","bohemian","Low",4.5,"M","Summer","v-neck","sleeveless","natural","polyster","chiffon","none","print","1"
"60","work","Average",0,"M","Autumn","slash-neck","sleeveless","natural","polyster","chiffon","bow","patchwork","0"
"61","cute","High",0,"M","Spring","v-neck","full","natural","rayon","chiffon","beading","solid","1"
"62","Casual","Average",0,"free","Spring","o-neck","short","natural","cotton","chiffon","hollowout","plaid","0"
"63","Casual","Average",5,"M","Summer","o-neck","short","empire","polyster","chiffon","ruffles","animal","0"
"64","Casual","Average",4.7,"M","Spring","o-neck","sleeveless","natural","chiffonfabric","chiffon","sashes","solid","0"
"65","Sexy","Low",4,"S","Autumn","o-neck","sleeveless","empire","cotton","chiffon","hollowout","solid","1"
"66","Casual","Average",5,"M","Autumn","v-neck","short","natural","cotton","broadcloth","beading","solid","0"
"67","Casual","Low",0,"free","Summer","v-neck","halfsleeve","natural","silk","broadcloth","applique","solid","0"
"68","Casual","Medium",4.5,"S","Winter","o-neck","full","natural","polyster","chiffon","applique","patchwork","1"
"69","work","Average",4.8,"L","Summer","v-neck","short","natural","polyster","chiffon","hollowout","solid","0"
"70","Casual","Medium",0,"M","Autumn","v-neck","short","empire","polyster","chiffon","ruffles","solid","0"
"71","bohemian","Average",5,"free","Summer","v-neck","sleeveless","natural","cotton","batik","tassel","print","1"
"72","Sexy","Low",0,"M","Spring","v-neck","short","natural","polyster","satin","ruffles","solid","1"
"73","Sexy","Average",4.2,"M","Winter","v-neck","sleeveless","natural","cotton","flannel","sequined","solid","0"
"74","Casual","Low",4.8,"free","Spring","o-neck","full","natural","cotton","worsted","lace","solid","0"
"75","Casual","Low",4.4,"S","Autumn","o-neck","sleeveless","natural","polyster","chiffon","plain","solid","0"
"76","Casual","Low",4.7,"L","Spring","o-neck","short","natural","chiffonfabric","chiffon","bow","dot","0"
"77","Casual","Average",5,"XL","Winter","boat-neck","full","natural","cotton","jersey","applique","geometric","1"
"78","Casual","Low",0,"free","Spring","v-neck","sleeveless","natural","cotton","broadcloth","hollowout","print","0"
"79","Casual","Average",0,"free","Spring","o-neck","sleeveless","natural","cotton","chiffon","hollowout","solid","0"
"80","bohemian","very-high",4.7,"free","Winter","v-neck","sleeveless","natural","polyster","chiffon","none","solid","1"
"81","Casual","Low",5,"M","Summer","v-neck","sleeveless","empire","polyster","chiffon","ruffles","animal","0"
"82","party","Average",4.7,"M","Spring","v-neck","sleeveless","natural","polyster","chiffon","hollowout","solid","0"
"83","Sexy","Low",5,"free","Spring","o-neck","full","natural","cotton","worsted","sequined","striped","0"
"84","vintage","Low",4.6,"M","Summer","o-neck","short","natural","cotton","chiffon","ruffles","print","0"
"85","Casual","Average",0,"free","Winter","o-neck","halfsleeve","empire","polyster","chiffon","hollowout","solid","0"
"86","Casual","Low",4.9,"L","Summer","boat-neck","short","natural","cotton","chiffon","ruffles","patchwork","1"
"87","Casual","Low",0,"S","Autumn","o-neck","full","natural","rayon","chiffon","beading","solid","1"
"88","Sexy","Average",4,"S","Autumn","v-neck","sleeveless","empire","rayon","chiffon","hollowout","patchwork","1"
"89","Sexy","Low",5,"M","Autumn","o-neck","full","natural","polyster","chiffon","lace","print","1"
"90","Brief","Average",4.6,"M","Winter","peterpan-collor","threequarter","natural","cotton","chiffon","sashes","solid","0"
"91","Casual","Average",0,"L","Spring","boat-neck","sleeveless","natural","cotton","chiffon","applique","patchwork","1"
"92","Casual","Average",4.8,"L","Winter","o-neck","short","natural","cotton","jersey","pockets","solid","1"
"93","OL","Medium",0,"M","Winter","mandarin-collor","halfsleeve","natural","cotton","broadcloth","sashes","solid","0"
"94","Sexy","Low",4.8,"M","Spring","o-neck","halfsleeve","natural","silk","chiffon","sashes","solid","0"
"95","Casual","Medium",0,"S","Spring","v-neck","full","natural","cotton","dobby","sequined","animal","1"
"96","Casual","Medium",0,"M","Spring","v-neck","threequarter","natural","silk","chiffon","ruffles","solid","1"
"97","Casual","Average",0,"M","Spring","o-neck","sleeveless","natural","silk","chiffon","embroidary","print","0"
"98","Casual","Average",0,"free","Winter","v-neck","full","natural","polyster","chiffon","ruffles","print","0"
"99","vintage","Low",4.8,"S","Summer","o-neck","short","natural","cotton","chiffon","ruffles","print","0"
"100","Sexy","Low",4.8,"L","Summer","v-neck","full","natural","cotton","jersey","applique","print","1"
"101","fashion","Average",4,"free","Summer","open","full","natural","cotton","worsted","sequined","solid","0"
"102","Casual","Average",4.7,"L","Summer","v-neck","short","natural","cotton","broadcloth","embroidary","print","1"
"103","Casual","Low",0,"free","Winter","o-neck","halfsleeve","natural","polyster","worsted","applique","patchwork","1"
"104","bohemian","Low",4.8,"free","Summer","o-neck","short","natural","nylon","chiffon","none","animal","1"
"105","work","Medium",4.6,"L","Winter","square-collor","short","empire","cotton","jersey","Tiered","solid","0"
"106","vintage","Average",4.7,"L","Summer","o-neck","short","natural","cotton","jersey","button","solid","0"
"107","cute","Low",4.7,"M","Spring","o-neck","short","empire","polyster","chiffon","ruffles","dot","1"
"108","Casual","Low",4.6,"free","Autumn","o-neck","full","natural","cotton","worsted","lace","solid","1"
"109","Casual","Medium",0,"free","Spring","o-neck","sleeveless","natural","cotton","broadcloth","sequined","solid","1"
"110","Casual","Average",4.7,"L","Autumn","o-neck","halfsleeve","natural","linen","dobby","lace","animal","0"
"111","Sexy","Average",0,"L","Autumn","v-neck","sleeveless","empire","polyster","chiffon","hollowout","patchwork","0"
"112","Casual","Low",4.7,"free","Winter","o-neck","sleeveless","natural","cotton","jersey","pockets","solid","1"
"113","Casual","Average",0,"M","Autumn","o-neck","short","empire","polyster","chiffon","applique","print","0"
"114","cute","Average",4.8,"L","Autumn","slash-neck","sleeveless","natural","polyster","chiffon","hollowout","solid","0"
"115","party","Average",5,"M","Spring","o-neck","halfsleeve","natural","polyster","chiffon","hollowout","solid","1"
"116","cute","Average",4.3,"L","Winter","o-neck","sleeveless","natural","polyster","chiffon","sashes","solid","0"
"117","Casual","Average",4.5,"L","Spring","o-neck","short","natural","cotton","chiffon","bow","patchwork","0"
"118","Casual","Low",4.7,"L","Autumn","o-neck","full","natural","cotton","chiffon","lace","print","0"
"119","Casual","Low",4.5,"free","Autumn","v-neck","short","natural","silk","worsted","lace","solid","0"
"120","Sexy","Average",3.6,"L","Winter","v-neck","full","natural","polyster","woolen","beading","solid","1"
"121","work","Average",4.8,"L","Winter","v-neck","short","natural","mix","broadcloth","lace","solid","0"
"122","vintage","Average",0,"free","Summer","o-neck","sleeveless","natural","cotton","batik","hollowout","print","0"
"123","Sexy","Low",4.6,"free","Spring","o-neck","full","natural","cotton","worsted","lace","leopard","1"
"124","Sexy","Low",0,"free","Winter","v-neck","sleeveless","empire","cotton","chiffon","sequined","solid","1"
"125","work","Average",4.6,"L","Spring","o-neck","short","empire","cotton","jersey","pockets","patchwork","0"
"126","Casual","Average",4.4,"M","Summer","o-neck","short","empire","cotton","jersey","lace","patchwork","0"
"127","cute","Low",4.9,"M","Autumn","o-neck","short","natural","chiffonfabric","chiffon","bow","dot","0"
"128","Sexy","Low",4.6,"free","Summer","v-neck","sleeveless","natural","cotton","broadcloth","beading","solid","0"
"129","party","Average",4.4,"free","Autumn","v-neck","threequarter","natural","polyster","chiffon","hollowout","solid","0"
"130","Casual","Average",0,"free","Spring","o-neck","short","natural","cotton","broadcloth","lace","solid","1"
"131","Casual","Low",0,"M","Summer","v-neck","full","natural","acrylic","worsted","lace","solid","0"
"132","Sexy","Average",4.6,"M","Winter","o-neck","full","natural","polyster","chiffon","lace","patchwork","1"
"133","work","Average",4.6,"M","Spring","v-neck","full","natural","polyster","chiffon","lace","patchwork","0"
"134","cute","Average",4.7,"L","Winter","o-neck","sleeveless","natural","chiffonfabric","broadcloth","lace","solid","0"
"135","bohemian","Average",4.7,"L","Autumn","o-neck","sleeveless","natural","polyster","chiffon","none","solid","0"
"136","cute","High",0,"M","Winter","o-neck","threequarter","empire","silk","chiffon","lace","patchwork","0"
"137","Casual","Average",0,"XL","Winter","o-neck","short","empire","polyster","shiffon","button","solid","0"
"138","Novelty","Average",4.9,"L","Autumn","o-neck","short","natural","polyster","chiffon","none","print","1"
"139","Casual","Low",4.7,"M","Autumn","o-neck","full","natural","cotton","worsted","lace","solid","0"
"140","cute","Average",4.3,"free","Summer","boat-neck","sleeveless","natural","cotton","worsted","lace","striped","1"
"141","Sexy","Low",0,"free","Autumn","slash-neck","short","empire","lycra","satin","hollowout","solid","0"
"142","cute","Low",4.7,"XL","Summer","o-neck","short","empire","chiffonfabric","chiffon","bow","print","0"
"143","Sexy","Low",4.5,"L","Spring","o-neck","sleeveless","natural","silk","worsted","lace","solid","0"
"144","Casual","Average",4.7,"M","Autumn","o-neck","sleeveless","empire","cotton","chiffon","ruffles","animal","1"
"145","Casual","Average",0,"L","Spring","boat-neck","sleeveless","natural","cotton","worsted","lace","solid","1"
"146","cute","Low",4.7,"free","Summer","o-neck","sleeveless","natural","chiffonfabric","chiffon","bow","print","1"
"147","Casual","Low",4.4,"free","Summer","turndowncollor","sleeveless","natural","cotton","jersey","pockets","solid","0"
"148","Casual","Average",4.8,"L","Winter","v-neck","short","empire","polyster","chiffon","ruffles","solid","0"
"149","vintage","Average",4.3,"free","Winter","o-neck","short","natural","chiffonfabric","chiffon","cascading","print","0"
"150","cute","Low",4.5,"L","Summer","o-neck","sleeveless","natural","cotton","chiffon","sashes","solid","1"
"151","Casual","Average",4.4,"M","Summer","turndowncollor","sleeveless","natural","chiffonfabric","chiffon","ruched","solid","0"
"152","vintage","Medium",0,"S","Winter","turndowncollor","halfsleeve","natural","cotton","broadcloth","sequined","plaid","0"
"153","Sexy","Low",4.7,"free","Summer","turndowncollor","sleeveless","natural","cotton","worsted","sequined","solid","1"
"154","vintage","High",0,"L","Summer","o-neck","short","natural","cotton","batik","pearls","print","0"
"155","Casual","Low",0,"free","Spring","v-neck","threequarter","natural","silk","worsted","lace","solid","1"
"156","Sexy","Average",0,"S","Autumn","slash-neck","short","natural","cotton","broadcloth","lace","solid","0"
"157","Casual","Low",0,"free","Spring","o-neck","short","natural","cotton","chiffon","hollowout","solid","0"
"158","cute","Medium",5,"free","Winter","o-neck","sleeveless","natural","silk","broadcloth","lace","solid","1"
"159","Casual","Low",4.7,"free","Summer","o-neck","sleeveless","natural","cotton","jersey","sashes","print","0"
"160","Sexy","Low",4.8,"free","Spring","v-neck","sleeveless","natural","cotton","broadcloth","sequined","solid","1"
"161","Casual","Average",4.5,"L","Winter","o-neck","short","natural","cotton","chiffon","bow","patchwork","0"
"162","vintage","Average",0,"S","Spring","o-neck","full","natural","mix","chiffon","embroidary","print","0"
"163","Casual","Average",3.7,"free","Autumn","boat-neck","full","natural","other","other","lace","solid","1"
"164","vintage","Average",4.8,"L","Winter","o-neck","sleeveless","natural","cotton","broadcloth","applique","patchwork","0"
"165","cute","Average",0,"XL","Spring","boat-neck","full","natural","cotton","worsted","applique","dot","1"
"166","Casual","Average",0,"L","Winter","open","short","natural","mix","poplin","applique","solid","1"
"167","Sexy","Medium",5,"M","Winter","o-neck","sleeveless","empire","polyster","chiffon","bow","solid","0"
"168","Brief","Average",4.9,"free","Summer","slash-neck","sleeveless","natural","cotton","broadcloth","sequined","solid","0"
"169","Casual","High",4.9,"S","Spring","o-neck","threequarter","natural","chiffonfabric","chiffon","flowers","dot","1"
"170","Brief","Average",4.6,"free","Winter","o-neck","full","natural","mix","chiffon","sashes","solid","0"
"171","Casual","Low",4.5,"free","Winter","o-neck","full","natural","mix","worsted","applique","solid","0"
"172","Casual","Low",4.8,"XL","Summer","o-neck","short","empire","mix","chiffon","sashes","geometric","0"
"173","Sexy","Medium",4.6,"L","Summer","o-neck","short","natural","spandex","jersey","lace","solid","0"
"174","Casual","Average",4.5,"M","Winter","v-neck","sleeveless","natural","polyster","chiffon","button","striped","0"
"175","work","Average",0,"S","Autumn","o-neck","sleeveless","natural","linen","chiffon","ruffles","patchwork","0"
"176","Casual","Low",0,"L","Winter","o-neck","sleeveless","empire","polyster","chiffon","ruffles","leopard","0"
"177","cute","Low",5,"L","Winter","o-neck","threequarter","natural","silk","chiffon","sashes","print","0"
"178","Brief","Average",4.3,"M","Spring","o-neck","full","natural","mix","worsted","sequined","patchwork","1"
"179","Sexy","Low",4.4,"free","Autumn","o-neck","full","empire","cotton","worsted","lace","leopard","0"
"180","cute","Low",0,"free","Summer","peterpan-collor","short","empire","cotton","broadcloth","applique","print","0"
"181","Casual","Average",4.5,"free","Summer","o-neck","short","natural","cotton","jersey","pockets","solid","1"
"182","Sexy","Low",4.7,"M","Winter","slash-neck","sleeveless","natural","nylon","chiffon","sashes","solid","1"
"183","Casual","Low",4.7,"free","Spring","o-neck","sleeveless","empire","cotton","chiffon","sashes","floral","0"
"184","Casual","Medium",4.8,"M","Winter","peterpan-collor","short","natural","polyster","chiffon","lace","patchwork","0"
"185","Sexy","Low",4.3,"free","Winter","v-neck","sleeveless","natural","silk","worsted","lace","solid","1"
"186","bohemian","Average",0,"L","Winter","turndowncollor","full","natural","mix","chiffon","hollowout","solid","0"
"187","Casual","Low",0,"free","Summer","o-neck","full","natural","cotton","jersey","pockets","patchwork","0"
"188","cute","Medium",4.8,"free","Spring","slash-neck","sleeveless","natural","polyster","chiffon","sashes","solid","1"
"189","Sexy","Average",0,"S","Autumn","v-neck","sleeveless","empire","cotton","broadcloth","beading","solid","0"
"190","Casual","Low",4.6,"S","Spring","o-neck","full","natural","cotton","worsted","lace","solid","1"
"191","vintage","Medium",4.7,"free","Spring","turndowncollor","sleeveless","natural","mix","worsted","lace","solid","1"
"192","work","Low",4.7,"free","Summer","o-neck","full","empire","cotton","chiffon","sashes","solid","0"
"193","cute","Average",4.8,"M","Summer","o-neck","short","natural","cotton","chiffon","rivet","solid","0"
"194","cute","Average",0,"M","Summer","o-neck","short","natural","cotton","chiffon","sashes","print","0"
"195","Casual","Average",4.7,"M","Winter","o-neck","full","empire","polyster","shiffon","applique","animal","0"
"196","Casual","Low",4.6,"free","Winter","o-neck","full","natural","polyster","worsted","applique","solid","1"
"197","party","Average",5,"free","Summer","v-neck","sleeveless","natural","polyster","chiffon","hollowout","solid","0"
"198","Casual","Average",0,"free","Summer","v-neck","sleeveless","natural","cotton","chiffon","hollowout","patchwork","0"
"199","Sexy","Average",5,"L","Winter","o-neck","threequarter","natural","polyster","broadcloth","lace","geometric","0"
"200","Sexy","Average",4.8,"free","Winter","o-neck","sleeveless","natural","polyster","broadcloth","embroidary","solid","0"
"201","Casual","Average",4.7,"S","Summer","v-neck","short","natural","cotton","chiffon","ruffles","dot","0"
"202","Casual","Average",4.1,"M","Autumn","v-neck","full","natural","polyster","chiffon","sashes","solid","1"
"203","Casual","Average",5,"XL","Autumn","o-neck","short","natural","chiffonfabric","chiffon","bow","dot","0"
"204","Sexy","Average",5,"M","Summer","v-neck","sleeveless","empire","cotton","chiffon","sequined","solid","1"
"205","work","Average",4.6,"L","Summer","slash-neck","short","natural","cotton","jersey","pockets","solid","0"
"206","Casual","Average",4.5,"M","Summer","peterpan-collor","sleeveless","natural","chiffonfabric","chiffon","ruched","solid","0"
"207","vintage","Average",4.5,"L","Autumn","o-neck","sleeveless","empire","cotton","worsted","button","solid","0"
"208","Casual","Average",0,"M","Summer","o-neck","threequarter","natural","nylon","broadcloth","rivet","solid","1"
"209","cute","Average",4.7,"L","Summer","o-neck","sleeveless","natural","cotton","worsted","lace","print","0"
"210","bohemian","Low",4.7,"free","Winter","o-neck","short","natural","nylon","jersey","sashes","print","0"
"211","Casual","Low",5,"free","Spring","slash-neck","sleeveless","empire","spandex","chiffon","sashes","striped","1"
"212","Casual","Average",5,"M","Winter","o-neck","sleeveless","natural","polyster","chiffon","sashes","solid","1"
"213","Casual","Average",4.3,"free","Summer","o-neck","sleeveless","natural","cotton","worsted","lace","striped","0"
"214","work","Low",4.5,"M","Winter","v-neck","threequarter","natural","chiffonfabric","chiffon","bow","patchwork","0"
"215","Casual","Average",4.3,"S","Spring","boat-neck","full","natural","cotton","worsted","lace","patchwork","1"
"216","Casual","Average",4.4,"L","Autumn","o-neck","halfsleeve","natural","linen","dobby","lace","animal","0"
"217","Sexy","Low",4.3,"M","Autumn","open","short","natural","lace","chiffon","lace","print","0"
"218","Casual","Low",4.6,"free","Summer","o-neck","full","natural","cotton","worsted","lace","solid","1"
"219","Casual","Low",4.6,"L","Winter","o-neck","full","natural","cotton","worsted","applique","solid","0"
"220","Casual","Average",4.6,"M","Spring","o-neck","sleeveless","natural","chiffonfabric","chiffon","sashes","solid","1"
"221","Casual","Low",0,"free","Autumn","peterpan-collor","threequarter","empire","silk","broadcloth","applique","solid","0"
"222","Casual","Average",4.7,"S","Spring","o-neck","halfsleeve","empire","polyster","chiffon","ruffles","animal","1"
"223","Casual","Average",0,"S","Summer","o-neck","sleeveless","empire","cotton","worsted","lace","solid","0"
"224","Casual","Low",4.8,"free","Summer","o-neck","sleeveless","natural","cotton","jersey","pockets","print","1"
"225","Casual","Average",5,"S","Winter","o-neck","sleeveless","empire","polyster","chiffon","sashes","plaid","0"
"226","Sexy","very-high",0,"free","Winter","v-neck","sleeveless","natural","polyster","knitted","sequined","solid","0"
"227","Casual","Low",4.4,"free","Summer","o-neck","sleeveless","natural","polyster","chiffon","sashes","print","0"
"228","Casual","Average",4.8,"M","Autumn","v-neck","short","natural","cashmere","chiffon","embroidary","print","1"
"229","Casual","Average",5,"free","Summer","v-neck","sleeveless","natural","modal","jersey","plain","patchwork","0"
"230","Sexy","Low",4.8,"M","Autumn","v-neck","full","natural","cotton","worsted","lace","print","1"
"231","Casual","Average",4.6,"free","Winter","v-neck","full","natural","cotton","flannel","lace","striped","0"
"232","Casual","Average",4.6,"M","Winter","v-neck","full","natural","chiffonfabric","chiffon","sashes","solid","0"
"233","Casual","Low",5,"S","Spring","o-neck","sleeveless","natural","chiffonfabric","chiffon","bow","print","0"
"234","cute","Average",0,"M","Winter","o-neck","short","natural","polyster","chiffon","sashes","solid","0"
"235","Casual","Low",4.8,"free","Spring","o-neck","sleeveless","natural","chiffonfabric","chiffon","bow","print","1"
"236","Casual","Average",4.6,"M","Autumn","o-neck","short","empire","polyster","chiffon","applique","dot","0"
"237","bohemian","Average",5,"M","Spring","slash-neck","sleeveless","empire","polyster","chiffon","ruffles","solid","1"
"238","Casual","Low",4.9,"free","Winter","o-neck","sleeveless","empire","silk","chiffon","sashes","print","1"
"239","Casual","Average",4.7,"L","Summer","o-neck","sleeveless","natural","silk","chiffon","beading","solid","0"
"240","Casual","Medium",4.6,"M","Winter","o-neck","full","natural","cashmere","chiffon","feathers","solid","1"
"241","Casual","Average",4.7,"M","Winter","v-neck","sleeveless","empire","polyster","chiffon","applique","print","0"
"242","Sexy","Average",4.7,"M","Winter","v-neck","sleeveless","natural","polyster","broadcloth","lace","patchwork","0"
"243","Casual","Average",3.5,"M","Winter","v-neck","short","natural","polyster","chiffon","ruffles","solid","0"
"244","Casual","Average",4.8,"M","Winter","o-neck","threequarter","natural","silk","chiffon","sashes","print","1"
"245","Casual","Average",0,"M","Winter","o-neck","full","natural","cotton","jersey","feathers","solid","1"
"246","Casual","Low",4.6,"M","Summer","o-neck","sleeveless","natural","cotton","chiffon","sashes","striped","0"
"247","Casual","Average",4.7,"L","Spring","v-neck","halfsleeve","natural","silk","broadcloth","embroidary","print","1"
"248","Casual","Low",4.5,"free","Summer","o-neck","full","natural","cotton","worsted","button","solid","0"
"249","Casual","Average",4.7,"M","Summer","o-neck","sleeveless","natural","polyster","chiffon","ruched","character","0"
"250","Casual","Low",4.5,"M","Winter","o-neck","short","natural","chiffonfabric","chiffon","bow","solid","0"
"251","Casual","Low",4.7,"S","Summer","o-neck","full","natural","cotton","chiffon","ruffles","patchwork","0"
"252","cute","Low",0,"free","Summer","boat-neck","sleeveless","natural","cotton","batik","hollowout","print","0"
"253","party","very-high",5,"M","Spring","slash-neck","sleeveless","natural","chiffonfabric","chiffon","flowers","solid","1"
"254","Casual","Average",4.9,"M","Autumn","v-neck","sleeveless","natural","polyster","chiffon","ruffles","striped","1"
"255","party","very-high",0,"L","Winter","v-neck","sleeveless","natural","polyster","tulle","beading","solid","0"
"256","party","very-high",0,"M","Winter","v-neck","cap-sleeves","empire","polyster","chiffon","lace","patchwork","0"
"257","Casual","Low",4.4,"M","Winter","v-neck","turndowncollor","natural","cotton","worsted","button","solid","1"
"258","party","very-high",0,"M","Spring","v-neck","threequater","natural","lycra","satin","applique","solid","1"
"259","party","High",0,"M","Winter","Sweetheart","sleeveless","natural","nylon","chiffon","pearls","solid","0"
"260","party","High",0,"M","Spring","Sweetheart","sleeveless","princess","nylon","satin","pearls","solid","0"
"261","party","Average",5,"M","Winter","o-neck","cap-sleeves","empire","polyster","chiffon","lace","patchwork","1"
"262","party","High",4.7,"M","Winter","Sweetheart","sleeveless","natural","polyster","chiffon","flowers","solid","0"
"263","party","Average",4.8,"free","Winter","o-neck","sleeveless","empire","polyster","chiffon","embroidary","solid","1"
"264","party","Average",4.5,"L","Summer","o-neck","full","natural","rayon","chiffon","hollowout","solid","1"
"265","party","very-high",4.9,"M","Spring","Sweetheart","sleeveless","empire","silk","chiffon","beading","solid","1"
"266","party","High",4.6,"M","Winter","Sweetheart","sleeveless","natural","polyster","chiffon","flowers","striped","0"
"267","party","Average",5,"M","Spring","Sweetheart","sleeveless","natural","polyster","chiffon","pleat","solid","1"
"268","party","very-high",4.8,"L","Spring","Sweetheart","sleeveless","empire","microfiber","organza","beading","solid","1"
"269","party","very-high",0,"M","Winter","Sweetheart","sleeveless","natural","polyster","chiffon","beading","solid","1"
