"","Style","Price","Rating","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern Type","Recommendation"
"75","bohemian","Average",4.6,"M","Spring","o-neck","sleeveless","natural","chiffon","chiffon","sashes","solid",0
"76","bohemian","Low",4.6,"free","Summer","v-neck","sleeveless","natural","cotton","broadcloth","beading","solid",0
"77","cute","Low",4.8,"M","Spring","o-neck","short","natural","chiffon","chiffon","bow","dot",1
"78","Casual","Medium",4.9,"L","Winter","o-neck","short","natural","cotton","broadcloth","sashes","solid",0
"79","Sexy","Low",4.4,"free","Autumn","v-neck","sleeveless","natural","cotton","worsted","lace","solid",0
"80","Sexy","Average",0,"free","Spring","v-neck","full","natural","cotton","woolen","lace","solid",1
"81","Sexy","Average",0,"free","Autumn","o-neck","full","natural","polyster","satin","hollowout","solid",0
"82","Novelty","Average",4.9,"M","Autumn","o-neck","short","natural","polyster","chiffon","none","print",0
"83","cute","Average",4.5,"L","Winter","v-neck","sleeveless","natural","polyster","jersey","sashes","solid",1
"84","Casual","Low",4.6,"free","Spring","v-neck","sleeveless","natural","silk","chiffon","drape","solid",0
"85","Casual","Average",4.5,"free","Autumn","o-neck","halfsleeve","natural","cotton","chiffon","hollowout","solid",1
"86","cute","Average",4.7,"L","Summer","o-neck","sleeveless","natural","polyster","broadcloth","lace","solid",0
"87","cute","High",4.3,"M","Spring","boat-neck","full","natural","polyster","terry","lace","solid",1
"88","Sexy","Low",0,"free","Winter","o-neck","sleeveless","natural","lycra","chiffon","hollowout","solid",0
"89","cute","Low",0,"free","Spring","v-neck","sleeveless","natural","silk","worsted","lace","patchwork",1
"90","Casual","Average",0,"L","Spring","o-neck","sleeveless","natural","chiffonfabric","chiffon","sequin","solid",0
"91","cute","Average",4.7,"M","Spring","o-neck","full","natural","rayon","chiffon","beading","solid",1
"92","Casual","Average",4.6,"M","Winter","v-neck","halfsleeve","natural","silk","chiffon","sashes","solid",1
"93","Casual","Average",0,"free","Winter","o-neck","short","natural","polyster","chiffon","cascading","solid",0
"94","Sexy","Average",0,"free","Winter","slash-neck","sleeveless","natural","cotton","broadcloth","sequin","solid",1
"95","Casual","Low",4.4,"M","Summer","o-neck","halfsleeve","empire","chiffonfabric","chiffon","bow","solid",0
"96","Casual","Low",4.8,"free","Winter","bowneck","full","natural","polyster","chiffon","bow","solid",0
"97","bohemian","Low",4.6,"free","Summer","o-neck","sleeveless","natural","cotton","chiffon","none","solid",1
"98","Casual","Average",4.6,"L","Winter","boat-neck","sleeveless","empire","silk","broadcloth","applique","print",1
"99","Casual","Low",4.4,"free","Summer","v-neck","short","empire","cotton","Corduroy","lace","solid",0
